,text_employer,category,pred
4881,добрый_день персональный_менеджер сбербанк блок звонить индивидуальный_предприниматель сказать удобно закрыть такой случай просить прощение побеспокоить контакт контакт направить название ваш организация соответственно измениться верно уточнить такой случай информация дать вопрос просить прощение побеспокоить добрый свидание,Зарплатные проекты,Бизнес-карта
4892,добрый_день сбербанк сбер бизнес клиентский_менеджер вера удобно уточнить причина вопрос какой возникнуть отправить контакт возникнуть вопрос смочь к обратиться большинство уделить добрый свидание,Бизнес-карта,Зарплатные проекты
4894,добрый менеджер_сбербанк удобно данный предпринимать обещать перезвонить понедельник помочь отключение зарплатный_проект сожаление рабочий час вечер завтра ранний утро перезвонить ваш перезвонить удобно записать готовый записать номер_телефон записать обращаться ваш жена минута перезвонить сообщить подтверждать звонок добрый,Открытие банковского счета,Зарплатные проекты
4896,добрый_день сбер бизнес система посмотреть успешно услуга подключить шаблон перечисление удобно пдф памятка электронный_почта направить картинка смочь настроить выплата рассказать пошаговый сделать какой образ посмотреть перевести допустить сумма нужный мочь перевести шаблон остаться действие проделать единственный момент обратить внимание формировать выплата карта зачисление выплата обязательно указать вывод средство карта обязательно почта направлять информация письмо отправить среда продублировать пдф файл памятка инструкция подробно заходить перенаправлять вопрос мочь почта звонить обязательно помочь хороший вечер свидание,Открытие банковского счета,Зарплатные проекты
4917,добрый_день менеджер_сбербанк блок сбер бизнес звонить индивидуальный_предприниматель сказать удобно разговаривать буквально пара минута подключить сервис зарплатный_проект текущий момент пользоваться сервис хотеть уточнить возможно вопрос возникнуть помочь проконсультировать знать перечисление производить выплата сотрудник требоваться информация отображать возможно вопрос другой продукт услуга_банка помочь контакт направить будущее номер вопрос сложность возникнуть звонить сервис дистанционно ваш удобство оформлять рада помочь верно верно прочить выплата код мочь переводить средство индивидуальный_предприниматель действовать зависимость наличие сотрудник безусловно мочь получаться получаться компьютер телефон пробовать телефон получаться указывать счёт списание счёт зачисление списывать контактный выбирать зачисление код вывод средство наличный счёт собственно переводить шаблон сохраняться мочь шаблон будущее средство переводить необходимо перечисление месяц комиссия календарный месяц нарастать итог разовый мочь часть переводить ежемесячно главное лимит укладываться слушать бизнес_карта счёт привязать мочь снимать наличный безусловно комиссия снятие внесение наличный напрямую карта расплачиваться комиссия прямой бизнес_карта расплачиваться магазин дать автозаправка услуга какой оплачивать зависеть ваш система налогообложение индивидуальный_предприниматель простить патент мочь подтверждение какой либо налоговый орган расплачиваться магазин нужда банковский карта пользоваться ведение счёт э бизнес_карта стандартный либо моментальный моментальный верно идти бесплатный обслуживание действовать перевыпускаться мочь получаться подключить смс информирование дать карта рубль месяц списывать мочь отключить либо подключить усмотрение плата обслуживание списываться повториться карта бесплатный ведение счёт пакет_услуга лист лёгкий старт обслуживание получаться лёгкий старт абонентский плата моментальный бизнес_карта абонентский плата рубль открывать счёт либо другой услуга приходить открываться вопрос рекомендовать обратиться операционный поддержка коллега перевести видеть движение ваш счёт уточнить подсказать подсказать счёт открыть январь рубль списать никакой услуга подключать карта счёт понять понять мочь уточнить коллега операционный поддержка выяснить произойти списание сожаление цель безопасность видеть движение ваш счёт смочь уточнить коллега перевести посмотреть списываться дополнительный плата бесплатный пакет чисто перечислить теоретически открытие счёт бесплатно пакет_услуга лёгкий старт абонентский плата моментальный бизнес карта абонентский плата получаться смс информирование рубль смс информирование счёт подключать сбер мочь повториться либо подключить самостоятельно либо отключить смс информирование счёт самостоятельно мочь отключать подключать личный_кабинет сбер бизнес личный_кабинет мочь мочь зайти показать получаться зайти давать посмотреть бизнес карта ваш смс информирование подключить заходить меню отдел боковой панель бизнес_карта вкладка счёт платёж компьютер телефон заслать телефон понять понять компьютер возможность зайти личный_кабинет устанавливать мочь поступить помочь сформировать доступ личный_кабинет компьютер помнить логин пароль дать вход либо смочь браузер зайти расширить версия нюанс давать попробовать перейти переходить продукт продукт вкладка должный вкладка подключить э бизнес_карта отображаться отображаться понять цель безопасность повторять ограничить доступ видеть личный_кабинет коллега перевести восстановить личный_кабинет показать отключить смс информирование либо подключить необходимость перевести коллега операционный поддержка выяснить произойти списание поступить коллега уточнять комиссия начало бизнес_карта карта получаться рубль получаться поступать смс подключить оповещение понять давать перевести коллега перезвонить уточнить получиться решить работа контакт направить прощаться оставаться линия переводить коллега удержать хороший день свидание сбербанк_бизнес здравствуйте обращаться фиксироваться юридический_лицо организация назвать наименование обращаться правильно понимать хотеть просмотреть список подключить услуга личный_кабинет минута понимать происходить списание э смс оповещение правильно понимать минута данный иметься данный момент доступ личный_кабинет сбер бизнес данный случай отключить услуга просмотреть необходимо зайти полный версия компьютер данный случай необходимо расширить информация код код клиент необходимый получаться смс информирование разный тариф вчера разный скажем условие информирование соответственно разный стоимость комиссия смс оповещение необходимо полный версия компьютер заходить сверху справа компьютер зайти сверху справа наименование ваш организация отображаться нажать появиться окошко небольшой пункт настройка уведомление смочь просмотреть составить прощаться возникнуть какой вопрос мочь повторно обратиться линия технический обслуживание мочь добрый свидание,Зарплатные проекты,Бизнес-карта
4948,добрый_день клиентский_менеджер_сбербанк звать блок сбер бизнес звонить организация удобно пара минута ваш предложение хотеться обсудить сказать принимать оплата физический_лицо будущее появиться необходимость сбербанк предложить услуга торговый_эквайринг суть возможность безналичный оплата ваш клиент сказать хозяйственный_командировочный_расход потребный снятие наличный расчётный счёт вкладка курс услуга_бизнес карта позволять круглосуточно вносить снимать рассказать подробный появиться виртуальный карта требовать посещение офис доступ мочь использование ваш смартфон стоимость тысяча рубль вариант помесячно оплата интересный предложение отказываться важно получаться обратный связь наш клиент устраивать предложение командировочный хозяйственный подотчётный сумма э вопрос продукт услуга_банка мочь задать направить смс контакт будущее,Эквайринг,Бизнес-карта
4957,добрый_день сбербанк блок звонить индивидуальный_предприниматель удобно ранее общаться предложение наш банк зарплатный_проект ваш сотрудник планировать сотрудник занимать терминал заменить необходимо терминал помочь сюда заявление терминал перезвонить ждать понять обращаться выбирать помочь добрый свидание,Бизнес-карта,Зарплатные проекты
4980,добрый_день звать клиентский_менеджер_сбербанк блок сбер бизнес звонить глава крестьянский фермерский хозяйство сие э верно шах звонить индивидуальный_предприниматель поговорить позволить уточнить обращаться вопрос взаимодействие банк иметь отношение поговорить вопрос взаимодействие банк связаться непосредственно просить прощение беспокойство желать хороший день добрый свидание,Зарплатные проекты,Бизнес-карта
4997,добрый_день персональный_менеджер сбер бизнес звонить правовой удобно сказать перезвонить половина день хотеть сообщить услуга сбер предоставить знать возможность занять выделить минута завтра выходной позвонить либо половина день либо понедельник удобно уделить хороший день перезвонить,Эквайринг,Бизнес-карта
5023,добрый_день персональный_менеджер_сбербанк блок сбер бизнес звонить индивидуальный_предприниматель удобно разговаривать ранее разговаривать повод торговый_эквайринг дополнительно оборудование личный_кабинет сделать понять такой понять такой случай возможно к вопрос другой продукт_банка ведение расчётный счёт такой случай контактный дать направить прийти номер вопрос смочь связаться проконсультироваться подключить дистанционно продукт уделить хороший день добрый свидание,Эквайринг,Бизнес-карта
5033,добрый_день звать сбербанк блок сбер бизнес звонить индивидуальный_предприниматель удобно занять ваш предложение хотеть обсудить сказать деятельность принимать оплата физический_лицо будущее появиться необходимость премия оплата физический_лицо рада продолжаться торговый_эквайринг возможность безналичный оплата клиент хотеть уточнить расчётный счёт наш банк последний неактивный пользоваться сказать связать принципиально пользоваться расчётный счёт расчётный счёт хотеть предложить подобрать пакет уйти операция перевести сбербанк верно выгодный оплачивать ведение счёт банк понять направить контакт номер появиться вопрос мочь связываться услуга оформляться дистанционно рада помочь добрый свидание,Эквайринг,Открытие банковского счета
5046,добрый_день персональный_менеджер_сбербанк блок сбер бизнес э звонить организация страховой брокер фаворит удобно разговаривать удалить ранее разговаривать повод торговый_эквайринг сказать обстоять дело актуально услуга деятельность подписать контракт понять примерно актуально начало апрель перезвонить отметить данный информация контакт продублировать вопрос обращаться услуга подключить дистанционно какой иметься вопрос продукт услуга обслуживание большой уделить хороший день свидание,Эквайринг,Зарплатные проекты
5049,здравствуйте звать сбербанк звонить предприниматель шелегинуть правильно подсказать выслушать прошлый разговаривать здравствуйте сбербанк ранее разговаривать предпринимательство оригинал помнить удобно разговаривать потереть код оптимизация расчётный счёт рассматривать вариант должный подобрать тарифный план подойти информация электронный_почта отправлять подсказать помнить обговорить касаться расчётный счёт хотеть отметить быстрый скажем рассмотреть оптимальный условие быстрый начать экономить информация почта приходить лукиновый рассматривать видеть возможно перезвонить неделя успеть ознакомиться комиссия фиксировать понять рассматривать процент никакой платёж дополнительно нечего списываться комиссия фактически произвести платёж дополнение оборот код учитываться э комиссия торговый_эквайринг комиссия торговый_эквайринг возможно некоторый клиент брать дополнение зависеть потребность э скажем ваш клиент спрашивать дать услуга говорить рассмотреть э скажем решить актуально рекомендовать ознакомиться помнить говорить неподходящий условие тарифный архивный план обновление намного экономичный страшный продублировать информация отец отправить информация буквально пара неделя перезвонить хороший свидание,Бизнес-карта,Открытие банковского счета
5061,добрый_день звать рука сбербанк блок сбер бизнес обращаться индивидуальный_предприниматель удобно полностью прекратить деятельность будущее возобновить ваш деятельность рада среди наш клиент отправить контактный дать вид смс сообщение возникнуть вопрос потребоваться оформление банк звонить блядь мочь подключить дистанционно рад помочь благодарить уделить,Бизнес-карта,Открытие банковского счета
5064,добрый_день сбер бизнес клиентский_менеджер любовь звонить индивидуальный_предприниматель удобно перезвонить следующий неделя сказать удобный предложение звонить озвучить кредитный продукт перезвонить понедельник течение день добрый свидание,Зарплатные проекты,Бизнес-карта
5091,здравствуйте звать сбер бизнес обслуживание_юридический_лицо предпринимать создавать закрывать понять прекращать деятельность понять подсказать планировать другой организационно правовой сфера работать понять такой случай решить дальнейший возобновить деятельность предприниматель организационно правовой форма юридический_лицо сотрудничать направить контактный дать поступить планировать,Зарплатные проекты,Эквайринг
5096,здравствуйте персональный_менеджер сбер бизнес звонить организация удобно благодарить ваш очередь звонить цель знакомство закрепить ваш организация удалённый персональный клиентский_менеджер хотеть направить контакт смс номер поступить работать понедельник пятница московский большинство услуга дистанционно подключать обращаться рада помочь хотеться информация уточнить карта устать обладатель бизнес_карта сказать лимит установить активировать карта какой вопрос кэшбэк проводить операция карта активный пользоваться вопрос какой вопрос к продукт сервис сбер личный_карта иметь вид карта_физический_лицо информация э продук физический_лицо обслуживать бизнес индивидуальный_предприниматель юридический_лицо необходимо номер обратиться коллега проконсультировать мочь переводить карта приложение доступно рубль месяц комиссия говорить приложение карта переводить комиссия процент минимум рубль переводить расчётный счёт приложение либо компьютерный версия случай комиссия перевод рубль переводить мочь комиссия взиматься функционал реализовать уделить рада познакомиться хороший день добрый свидание,Бизнес-карта,Зарплатные проекты
5101,добрый_день клиентский_менеджер звать сказать сказать линия поддержка помощь обратно эквайринг сказать переводить смысл попробовать помочь значение сложно знать поступить попробовать знать клиентский_менеджер который работать территория вариант обращаться офис_банка мочь создать заявка сбербанк_бизнес_онлайн создавать заявка обязательно клиентский_менеджер проговорить эквайринг попробовать попробовать принцип сотрудник который общаться вполне помочь либо устранить либо направить сотрудник помочь давать попробовать хотеть контроль завтра перезвонить удобно перезвонить уточнить сказать ситуация благодарить уделить контакт узнать решить сообщить какой вопрос целое обращаться рад помочь продукт услуга подключать дистанционно добрый свидание,Эквайринг,Зарплатные проекты
5126,виктория здравствуйте звать сбербанк блок сбер бизнес звонить ка предприниматель удобно разговаривать рассматривать услуга_банка правильно понимать устроить важный обратный связь обслуживание ваш банк подходить обновиться тариф удобно помочь подобрать тариф обслуживание рассматривать переход банк информация зафиксировать рассмотреть открытие счёт благодарить отделённый тема добрый свидание,Зарплатные проекты,Открытие банковского счета
5162,добрый_день персональный_менеджер звать сбер бизнес звонить ваш ип подсказать удобно разговаривать забыть звонить следующий неделя правильно понимать звонить знакомство число удобно перезанять какой перезвонить хороший день добрый свидание,Открытие банковского счета,Бизнес-карта
5177,добрый_день виктория сбербанк_клиентский_менеджер удобно ранее созваниваться задавать сбер оставлять заявка непосредственно сайт позвонить телефон торговый_эквайринг напрямую торговый_эквайринг зависеть номер_телефон написать либо терминал либо короткий номер либо номер позвонить короткий прям сотовый звонить сказать самостоятельно подключить личный_кабинет_сбербанк бизнес_онлайн услуга какой вопрос возникнуть контактный дать отправлять звониться удовольствие помочь подсказать благодарить уделить добрый свидание,Зарплатные проекты,Эквайринг
5179,добрый_день звать максим сбербанк_клиентский_менеджер блок сбер бизнес звонить организация домоуправление петровский верно сказать вопрос банк обсудить банковский обслуживание взаимодействие банк понять перезвонить такой случай понедельник перезвонить,Открытие банковского счета,Бизнес-карта
5184,добрый_день сбербанк блок сбер бизнес клиентский_менеджер звонить организация союз ошибиться номер_телефон добрый_день сбербанк блок сбер бизнес клиентский_менеджер звонить организация союз сказать обсудить вопрос банковский обслуживание дать организация уточнить обращаться удалить минута ваш предложение хотеться обсудить предложить открыть счёт организация союз,Открытие банковского счета,Зарплатные проекты
5205,добрый_день менеджер_сбербанк блок сбер бизнес звонить организация вода инвест удобно удалить пара минута организация открыть расчётный счёт сбербанк последний стать неактивный использовать стараться прислушиваться свой клиент улучшать условие предоставление услуга сказать устраивать сотрудничество сбербанк нету стоить поработать добрый_день приятно менеджер_сбербанк блок сбер бизнес организация выдать вест сказать текущий расчётный счёт сбербанк неактивный использоваться связать стараться прислушиваться свой клиент улучшать условие предоставление услуга устраивать тарифный план который обслуживать понять возможно допустить дальнейший получение кредит оборот хотеть поддерживать подобрать пакет_услуга операция перевести сбербанк уверить выгодный оплачивать счёт банк предоставить сказать предоставить информация какой тариф действовать сбербанк хотеть текущий тариф возможно условие другой тариф подойти мочь сменить тариф самостоятельно личный_кабинет удобно отправить смс ссылка сайт страница тариф смочь познакомиться действовать тариф сбербанк обновить линейка тариф тариф подойти потребоваться сменить тариф дистанционный режим делаться бесплатно подождать отделение_банка смена тариф заявление стоять рубль данный операция выбирать удобный мочь обратиться отделение удобный предложение такой сервис зарплатный_проект смочь коротко озвучить овердрафт озвучить оформляться организация постоянно наоборот допустить постоянно наоборот миллион рубль мочь подать заявка овердрафт открываться линия определённый период подавать заявка говорить полгода ежемесячно плательщик расчётный счёт стабильный договор официально заключить должный стабильный работа расчётный счёт понимать текущий момент правильно проговорить информация операция приходить сбербанк вероятность получение кредит соответственно увеличиться мочь кредитоваться допустить понимать работать другой банк хотеть кредитоваться сбербанк возможно выгодный условие расчётный счёт активный понимать счёт открыть программа овердрафт объяснить какой должный условие минимум месяц должный стабильный расчётный счёт далее овердрафт овердрафт планировать кредитоваться нужный кредит цель допустить говорить хотеть приобрести возможно разный предложение овердрафт овердрафтный предложение рассмотреть какой программа мочь какой мочь подать заявка самый показать оборот друг банк допустить активный использовать счёт сбербанк вероятность получение больший сумма процент условие полгода условие овердрафт овердрафт условие другой программа такой жёстко требование непосредственно обязательно средний состояние счёт программа разный какой программа доступно удобно зайти личный_кабинет организация какой текущий программа перезвонить перезвонить связаться близкий связаться зайти личный_кабинет организация сказать доступно оставить контакт направить данный номер продублировать продукт сбер помочь оформить дистанционно экономь скоро связаться добрый свидание,Зарплатные проекты,Открытие банковского счета
5211,добрый_день персональный_менеджер бизнес звонить ваш сказать удобно ранее общаться эквайринг хотеть перевести коллега задать сказать оставаться линия перевести актуальный момент момент диалог перевести звонок передать номер сожаление понять удобно перезвонить добрый,Зарплатные проекты,Бизнес-карта
5227,добрый_день персональный_менеджер сбер бизнес звонить организация ооо транс сказать удобно звонить центр корпоративный решение обслуживать россия хотеть предложить наш банк удобный сервис поделить,Зарплатные проекты,Открытие банковского счета
5236,добрый_день персональный_менеджер бизнес звонить индивидуальный_предприниматель удобно поделить буквально пара минута ваш дистанционный предложение хотеться озвучить рассматривать приложение ваш банк контакт вопрос обращаться услуга подключать дистанционно хороший день добрый,Бизнес-карта,Зарплатные проекты
5265,добрый_день сбербанк блок сбер бизнес клиентский_менеджер обращаться уточнить сложно назвать организация мдм номер назначение платёж озвучить видеть брать понять понять удобно ожидать некоторый линия ожидать уточнить добрый_день коллега исход продажа линия находиться клиент модный вопрос клиент хотеть уточнить периметр входить зарплатный_проект уточнять правомерно вернуть заём руководитель договор присутствовать код перечисление процент договор благодарить добрый сбербанк сбер бизнес здравствуйте организация клиент обращаться переводить сбербанк_бизнес здравствуйте обращаться перевести переключить уточнить сказать правильно понять хотеть рамка зарплатный_договор перечислить денежный_средство код клиент подсказать смочь сбер бизнес зайти такой случай подсказать возможно дать последний операция один последний главное последний цифра расчётный счёт ваш говорить вчера соответственно февраль рубль правильно информация загрузиться проверить корректность предоставлять дать дать корректный уточнить информация линия оставаться минута благодарить ожидание видеть рамка зарплатный_договор предусмотреть выплата договор процентный заём процент данный понять данный случай рамка ваш отчётность возникнуть вопрос налоговый орган например сделать выплата договор процентный заём заём беспроцентный поэтому рекомендовать создать платёжный поручение расчётный счёт избежание дополнительный вопрос любой случай рекомендовать создать непосредственный платёжный поручение который указать назначение платёж добрый линия оставаться качество обслуживание,Открытие банковского счета,Зарплатные проекты
5274,здравствуйте обращаться переводить карта_физический_лицо иметь вид мочь уточнить понять зарплатный_проект подключить личный_кабинет сбер бизнес_онлайн находиться слева меню вкладка зарплатный_проект нажать система предлагать оформить подключить подключить такой образ мочь перевод платёжный поручение слева меню верхний часть вкладка создать нажать платёжный поручение контрагент необходимо вбить получатель вводить сумма получатель необходимо указать фамилия отчество физический_лицо счёт указывать лицевой счёт номер карта пластика счёт оставить очерёдность выплата_заработный плата индивидуальный_предприниматель личный средство перевод заработный плата выплата_заработный_плата осуществляться назначение платёж указывать выплата_заработный_плата период указывать мочь предоставить очерёдность выплата_заработный_плата проходить очерёдность э касаемо реквизит заполнять подписывать отправлять банк предприниматель календарный месяц комиссия льготный лимит рубль лимит превысить перевод облагаться комиссия процент один целый мочь подключить зарплатный_проект преимущество гораздо оперативно идти зачисление платёжный поручение поздний конец следующий рабочий день зарплатный_проект течение час перечисление идти дальнейший оборот зарплатный_проект смочь подключить индивидуальный условие э комиссия пример месяц лимит превышать процент пример процент комиссия онлайн какой смысл мочь уточнить показать сторона получатель отправитель телефон мобильный приложение сбер бизнес_онлайн иметь вид мочь мобильный приложение мочь платёжный поручение отправлять компьютерный век находиться мочь платёж контрагент мобильный приложение сервис доступный зарплатный_проект требоваться добрый свидание добрый_день звать рада помочь обращаться подсказать бизнес ка бизнес карта сказать обратиться расчётный счёт сбербанк обслуживаться верно юридический_лицо ип озвучить подсказать зарплата наличные начислять рассматривать зачисление платёжный реестр уменьшить комиссия наличные снимать средство бизнес карта бизнес карта выпускать классический дебетовый годовой_обслуживание_карта половина тысяча снятие наличный интересовать снимать процедура такой случай внести сие карта коллега сориентировать подробно отключаться переводить добрый,Бизнес-карта,Зарплатные проекты
